Site Name,Power Plant Type,Plant Status,State,Lat,Lon,Plant Owner,Plant Operator,Nameplate Capacity (MW),Planned Capacity (MW),Max Tower  Capacity (MWe),Max Trough Capacity (MWe),Solar-Augment Potential,Reason Not Considered
Welsh,Pulverized Coal,Operating,TX,33.0583,-94.844,Southwestern Electric Power Company,Southwestern Electric Power Company,1674,NA,324.8,83,Fair,
Winyah,Pulverized Coal,Operating,SC,33.3303,-79.3611,South Carolina Public Service Authority,South Carolina Public Service Authority,1260,NA,182.9,46.8,Good,
Coronado,Pulverized Coal,Operating,AZ,34.5778,-109.2717,Salt River Project,Salt River Project,821.8,NA,120.2,30.6,Excellent,
Sooner,Pulverized Coal,Operating,OK,36.4537,-97.0527,Oklahoma Gas and Electric Company,Oklahoma Gas and Electric Company,1138,NA,165.7,42.3,Fair,
Springerville,Pulverized Coal,Operating,AZ,34.3186,-109.1636,Multi-Owned,Tuscon Electric Power Company,1299.6,NA,511.6,130.2,Excellent,
Coleto Creek,Pulverized Coal,Operating,TX,28.7128,-97.2142,"International Power America, Inc.","International Power America, Inc.",600.4,NA,174.7,44.7,Good,
Coleto Creek,Pulverized Coal,Planned,TX,28.7128,-97.2142,Multi-Owned,"International Power America, Inc.",0,650,174.7,44.7,Good,
"Colorado Energy Nations Company, LLP",Pulverized Coal,Operating,CO,39.7606,-105.215,Trigen Energy Corporation,Trigen Energy Corporation,35.4,NA,6,1.5,Good,
Tolk,Pulverized Coal,Operating,TX,34.1847,-102.5686,Southwestern Public Service Company,Southwestern Public Service Company,1136,NA,330.8,84.4,Good,
Washington County Power Station,Pulverized Coal,Planned,GA,33.0917,-82.9803,Power4Georgians LLC,Power4Georgians LLC,0,850,242.6,63.2,Fair,
"Rodemacher (Rapides Parish, LA)",Pulverized Coal,Operating,LA,31.395,-92.7167,Multi-Owned,(blank),558,NA,55.6,41.5,Good,
St Johns River Power,Pulverized Coal,Operating,FL,30.4311,-81.5508,Multi-Owned,JEA,1358,NA,134.5,99.9,Good,
Seminole (FL),Pulverized Coal,Operating,FL,29.7333,-81.6339,Seminole Electric Cooperative Inc.,Seminole Electric Cooperative Inc.,1429.2,NA,410.8,106.2,Good,
Craig (CO),Pulverized Coal,Operating,CO,40.4627,-107.5912,Multi-Owned,"Tri-State Generation & Transmission Association, Inc.",1339.2,NA,257,66.4,Good,
James H. Miller Jr.,Pulverized Coal,Operating,AL,33.6319,-87.0597,Multi-Owned,Alabama Power Company,2822,NA,202.1,155.4,Fair,
Oklaunion,Pulverized Coal,Operating,TX,34.0825,-99.1753,Multi-Owned,Public Service Company of Oklahoma,720,NA,208.8,53.6,Fair,
Central Power & Lime,Pulverized Coal,Operating,FL,28.5814,-82.4303,Central Power & Lime LLC,Central Power & Lime LLC,125,NA,36.8,9.3,Good,
Scholz,Pulverized Coal,Operating,FL,30.6689,-84.8869,Gulf Power Company,Gulf Power Company,98,NA,0,0,Not Considered,Plant Too Old
Tennessee Eastman Division,Pulverized Coal,Operating,TN,36.5192,-82.535,Tennessee Eastman Co,Tennessee Eastman Co,194.3,NA,0,0,Not Considered,Low DNI
Thomas H Allen,Pulverized Coal,Operating,TN,35.0742,-90.1439,Tennessee Valley Authority,Tennessee Valley Authority,990,NA,0,0,Not Considered,Plant Too Old
W H Weatherspoon,Pulverized Coal,Operating,NC,34.5889,-78.975,Carolina Power & Light Company,Carolina Power & Light Company,165.5,NA,0,0,Not Considered,Plant Too Old
W S Lee,Pulverized Coal,Operating,SC,34.6022,-82.435,"Duke Energy Carolinas, LLC","Duke Energy Carolinas, LLC",355,NA,0,0,Not Considered,Plant Too Old
Wateree,Pulverized Coal,Operating,SC,33.8264,-80.6218,South Carolina Electric & Gas Co.,South Carolina Electric & Gas Co.,771.8,NA,0,0,Not Considered,Plant Too Old
Widows Creek,Pulverized Coal,Operating,AL,34.8825,-85.7547,Tennessee Valley Authority,Tennessee Valley Authority,1968.6,NA,0,0,Not Considered,Plant Too Old
