stateId,year,hdd
CO,1977,6993
CO,1976,7398
CO,1975,7752
CO,1974,7459
CO,1973,7852
CO,1972,7563
CO,1971,7696
CO,1970,7651
CO,1969,7542
CO,1968,7716
CO,1967,7416
CO,1966,7509
CO,1965,7580
CO,1964,7824
CO,1963,7052
CO,1962,7369
CO,1961,7808
CO,1960,7664
CT,2022,5627
CT,2021,5410
CT,2020,5344
CT,2019,5937
CT,2018,5739
CT,2017,5440
CT,2016,5364
CT,2015,5938
CT,2014,6205
CT,2013,5930
CT,2012,5028
CT,2011,5605
CT,2010,5524
CT,2009,6103
CT,2008,5908
CT,2007,5945
CT,2006,5416
CT,2005,6178
CT,2004,6148
CT,2003,6458
CT,2002,5697
CT,2001,5672
CT,2000,6108
CT,1999,5614
CT,1998,5236
CT,1997,6140
CT,1996,6270
CT,1995,6145
CT,1994,6241
CT,1993,6270
CT,1992,6378
CT,1991,5477
CT,1990,5370
CT,1989,6445
CT,1988,6429
CT,1987,6119
CT,1986,6124
CT,1985,6115
CT,1984,6118
CT,1983,6026
CT,1982,6332
CT,1981,6334
CT,1980,6496
CT,1979,6091
CT,1978,6790
CT,1977,6327
CT,1976,6548
CT,1975,6029
CT,1974,6276
CT,1973,5803
CT,1972,6608
CT,1971,6346
CT,1970,6558
CT,1969,6432
CT,1968,6499
CT,1967,6709
CT,1966,6460
CT,1965,6505
CT,1964,6302
CT,1963,6592
CT,1962,6718
CT,1961,6398
CT,1960,6374
TN,2022,3820
TN,2021,3503
TN,2020,3432
TN,2019,3483
TN,2018,3844
TN,2017,3167
TN,2016,3437
TN,2015,3569
TN,2014,4284
TN,2013,4040
TN,2012,3190
TN,2011,3673
TN,2010,4294
TN,2009,3907
TN,2008,3972
TN,2007,3497
TN,2006,3566
TN,2005,3717
TN,2004,3600
TN,2003,3906
TN,2002,3782
TN,2001,3696
TN,2000,3931
TN,1999,3494
TN,1998,3347
TN,1997,4048
TN,1996,4233
TN,1995,4053
TN,1994,3808
TN,1993,4172
TN,1992,3899
TN,1991,3564
TN,1990,3308
TN,1989,4152
TN,1988,4304
TN,1987,3881
TN,1986,3711
TN,1985,4048
TN,1984,3900
TN,1983,4342
TN,1982,3864
TN,1981,4265
TN,1980,4342
TN,1979,4386
TN,1978,4554
TN,1977,4298
TN,1976,4387
TN,1975,3821
TN,1974,3669
TN,1973,3775
TN,1972,3965
TN,1971,3916
TN,1970,4184
TN,1969,4481
TN,1968,4448
TN,1967,3898
TN,1966,4306
TN,1965,3900
TN,1964,3975
TN,1963,4427
TN,1962,4191
TN,1961,4048
TN,1960,4583
TX,2022,1949
TX,2021,1643
TX,2020,1549
TX,2019,1879
TX,2018,1984
TX,2017,1337
TX,2016,1501
TX,2015,1858
TX,2014,2088
TX,2013,2014
TX,2012,1411
