period,seriesId,seriesDescription,stateId,stateDescription,value,unit,Outlier
2013,RERCB,Renewable energy sources consumed by the residential sector,CA,California,65030,Billion Btu,True
2013,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,50290,Billion Btu,True
2013,RERCB,Renewable energy sources consumed by the residential sector,US,United States,682962,Billion Btu,True
2013,REPRB,Renewable energy production,CA,California,399975,Billion Btu,True
2013,REPRB,Renewable energy production,IA,Iowa,605138,Billion Btu,True
2013,REPRB,Renewable energy production,WA,Washington,405957,Billion Btu,True
2013,REPRB,Renewable energy production,US,United States,6560782,Billion Btu,True
2013,RETCB,Renewable energy total consumption,WA,Washington,420843,Billion Btu,True
2013,RETCB,Renewable energy total consumption,TX,Texas,359700,Billion Btu,True
2013,RETCB,Renewable energy total consumption,US,United States,6587023,Billion Btu,True
2013,RETCB,Renewable energy total consumption,CA,California,554027,Billion Btu,True
2012,RETCB,Renewable energy total consumption,TX,Texas,332011,Billion Btu,True
2012,RERCB,Renewable energy sources consumed by the residential sector,US,United States,543972,Billion Btu,True
2012,RERCB,Renewable energy sources consumed by the residential sector,CA,California,52834,Billion Btu,True
2012,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,45754,Billion Btu,True
2012,REPRB,Renewable energy production,IA,Iowa,586826,Billion Btu,True
2012,REPRB,Renewable energy production,WA,Washington,433359,Billion Btu,True
2012,REPRB,Renewable energy production,CA,California,377749,Billion Btu,True
2012,REPRB,Renewable energy production,US,United States,6186971,Billion Btu,True
2012,RETCB,Renewable energy total consumption,US,United States,6150362,Billion Btu,True
2012,RETCB,Renewable energy total consumption,WA,Washington,450509,Billion Btu,True
2012,RETCB,Renewable energy total consumption,CA,California,495642,Billion Btu,True
2011,RERCB,Renewable energy sources consumed by the residential sector,CA,California,57752,Billion Btu,True
2011,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,46990,Billion Btu,True
2011,RERCB,Renewable energy sources consumed by the residential sector,US,United States,626097,Billion Btu,True
2011,REPRB,Renewable energy production,US,United States,6404003,Billion Btu,True
2011,REPRB,Renewable energy production,WA,Washington,445171,Billion Btu,True
2011,RETCB,Renewable energy total consumption,CA,California,541230,Billion Btu,True
2011,RETCB,Renewable energy total consumption,WA,Washington,461703,Billion Btu,True
2011,REPRB,Renewable energy production,IA,Iowa,595539,Billion Btu,True
2011,REPRB,Renewable energy production,CA,California,422243,Billion Btu,True
2011,RETCB,Renewable energy total consumption,US,United States,6308059,Billion Btu,True
2011,RETCB,Renewable energy total consumption,TX,Texas,328303,Billion Btu,True
2010,RERCB,Renewable energy sources consumed by the residential sector,CA,California,57789,Billion Btu,True
2010,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,46975,Billion Btu,True
2010,RERCB,Renewable energy sources consumed by the residential sector,US,United States,636333,Billion Btu,True
2010,REPRB,Renewable energy production,US,United States,5942579,Billion Btu,True
2010,REPRB,Renewable energy production,WA,Washington,358833,Billion Btu,True
2010,RETCB,Renewable energy total consumption,CA,California,492956,Billion Btu,True
2010,RETCB,Renewable energy total consumption,WA,Washington,376536,Billion Btu,True
2010,REPRB,Renewable energy production,IA,Iowa,554423,Billion Btu,True
2010,REPRB,Renewable energy production,CA,California,370497,Billion Btu,True
2010,RETCB,Renewable energy total consumption,US,United States,5895676,Billion Btu,True
2009,RERCB,Renewable energy sources consumed by the residential sector,US,United States,593180,Billion Btu,True
