year,stateId,REPRB,RERCB,RETCB
1995,IL,119951.0,17651.0,97004.0
1995,IN,49279.0,9347.0,51468.0
1995,KS,15012.0,5624.0,12871.0
1995,KY,27584.0,11143.0,28033.0
1995,LA,145028.0,7980.0,145672.0
1995,MA,66549.0,19744.0,66549.0
1995,MD,41861.0,11898.0,42126.0
1995,ME,137743.0,4810.0,137743.0
1995,MI,94695.0,15764.0,98922.0
1995,MN,68125.0,10515.0,77675.0
1995,MO,23014.0,11937.0,25012.0
1995,MS,94192.0,7223.0,94383.0
1995,MT,53403.0,1764.0,53342.0
1995,NC,130618.0,18014.0,130716.0
1995,ND,14029.0,1546.0,12956.0
1995,NE,37083.0,3591.0,23542.0
1995,NH,30028.0,4066.0,30028.0
1995,NJ,43128.0,15093.0,44140.0
1995,NM,7251.0,3692.0,7966.0
1995,NV,16204.0,3133.0,17257.0
1995,NY,211900.0,52852.0,214169.0
1995,OH,70616.0,17227.0,86216.0
1995,OK,34109.0,6426.0,34109.0
1995,OR,185887.0,10511.0,185887.0
1995,PA,99282.0,24152.0,105281.0
1995,RI,5015.0,3326.0,5015.0
1995,SC,100846.0,9041.0,100846.0
1995,SD,24738.0,1612.0,25427.0
1995,TN,98704.0,14835.0,96931.0
1995,TX,106132.0,14478.0,110346.0
1995,UT,7891.0,3098.0,7891.0
1995,VA,119615.0,15843.0,119343.0
1995,VT,12455.0,2184.0,12455.0
1995,WA,372764.0,17459.0,374986.0
1995,WI,95145.0,8321.0,97801.0
1995,WV,11223.0,4683.0,11336.0
1995,WY,5193.0,966.0,5464.0
1996,AK,12417.0,1935.0,13145.0
1996,AL,246596.0,12662.0,246945.0
1996,AR,98639.0,6084.0,98641.0
1996,AZ,48324.0,12393.0,50240.0
1996,CA,396901.0,78781.0,404112.0
1996,CO,17857.0,7765.0,23186.0
1996,CT,51717.0,11047.0,51996.0
1996,DC,1922.0,1690.0,1922.0
1996,DE,2641.0,1977.0,2641.0
1996,FL,238849.0,41832.0,238919.0
1996,GA,224444.0,17441.0,224444.0
1996,HI,21531.0,1206.0,21531.0
1996,IA,113242.0,6380.0,82247.0
1996,ID,72208.0,2256.0,72019.0
1996,IL,87466.0,18339.0,82764.0
1996,IN,44944.0,9725.0,46611.0
1996,KS,12499.0,5839.0,11716.0
1996,KY,30916.0,11577.0,31382.0
1996,LA,145764.0,8285.0,145919.0
1996,MA,70193.0,20494.0,70193.0
1996,MD,48979.0,12355.0,49203.0
1996,ME,138415.0,4990.0,138415.0
1996,MI,110098.0,16373.0,111880.0
1996,MN,71941.0,10903.0,76729.0
1996,MO,21666.0,12386.0,22717.0
1996,MS,85740.0,7500.0,85759.0
1996,MT,63002.0,1831.0,62959.0
1996,NC,130134.0,18706.0,132874.0
1996,ND,14531.0,1607.0,14272.0
1996,NE,42234.0,3730.0,27325.0
1996,NH,34337.0,4220.0,34337.0
1996,NJ,41077.0,15683.0,41931.0
1996,NM,6121.0,3801.0,7129.0
1996,NV,17338.0,3288.0,17338.0
1996,NY,238701.0,54929.0,240615.0
1996,OH,76203.0,17900.0,83243.0
1996,OK,36724.0,6667.0,36724.0
1996,OR,206337.0,10955.0,206337.0
1996,PA,110221.0,25086.0,114722.0
1996,RI,5490.0,3452.0,5490.0
1996,SC,110726.0,9389.0,110726.0
1996,SD,31577.0,1674.0,31749.0
1996,TN,97411.0,15404.0,96168.0
1996,TX,103308.0,15039.0,104877.0
1996,UT,8563.0,3216.0,8638.0
1996,VA,126463.0,16452.0,129674.0
