series_id,name,geography,year,value
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1985,8487
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1984,7908
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1983,8151
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1982,8452
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1981,6976
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1980,7586
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1979,8670
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1978,8835
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1977,7735
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1976,7709
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1975,8222
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1974,7559
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1973,7596
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1972,8589
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1971,8209
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1970,8414
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1969,8415
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1968,7945
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1967,7922
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1966,8391
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1965,8274
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1964,7874
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1963,7520
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1962,7995
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1961,7977
SEDS.ZWHDP.SD.A,"Heating degree days (HDD), South Dakota",USA-SD,1960,8387
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2023,10902
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2022,10035
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2021,10976
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2020,10781
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2019,8998
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2018,9632
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2017,10451
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2016,9286
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2015,9810
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2014,9582
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2013,10397
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2012,11702
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2011,10909
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2010,10624
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2009,11023
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2008,11628
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2007,10813
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2006,11267
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2005,10098
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2004,10296
SEDS.ZWHDP.AK.A,"Heating degree days (HDD), Alaska",USA-AK,2003,10163
